,delta_peak,post_delta_inter_peak,pre_delta_inter_peak
"T0: moderna, pfizer, shot",7.203745782551814,8.453190376569038,10.822488621065453
"T1: sputnikv, russia, sputnik",3.7747021965158716,3.1609571129707117,10.551958458875568
"T2: india, vaccine covaxin, ocgn",2.8740618329546237,4.9032426778242675,5.061862939932047
"T3: bengaluru, availability, free",5.38318529229498,7.8157688284518825,0.1705237515225335
"T4: d2 slots, d2, d1",3.0117744267713285,0.05230125523012552,3.797679338419129
"T5: 2021 fees, fees, covaxin dose",5.534669145493355,1.984178870292887,0.061542406564523366
"T6: sinovac, china, sinopharm",2.354885354265648,1.032949790794979,2.9258285787550484
"T7: people, don, amp",1.3206637747021965,2.4156642259414225,1.589845502916854
"T8: approval, covaxin approval, approval covaxin",1.2297734627831716,3.987970711297071,0.794922751458427
"T9: dose covaxin, 2nd dose, 2nd",0.6169524202988363,0.19939853556485357,2.809154432976473
"T10: mrna, moderna mrna, mrna vaccines",1.5644150657577638,1.7945868200836819,1.0269889095454838
"T11: sinovac, dose sinovac, sinopharm",1.4418508572608966,0.591657949790795,1.391114815052247
"T12: moderna, moderna moderna, got moderna",0.9626110307787648,0.9479602510460251,1.2436694659914098
"T13: children, 18 years, kids",0.2272257797975625,4.344273012552302,0.48592858516571574
"T14: ocgn, ocugen, ocgn covaxin",0.6114439165461681,2.598718619246862,0.6872235399705109
