Topic,Keywords,Pre-Delta %,Delta Peak %,Post-Delta %,Pre→Delta Shift,Delta→Post Shift
1,"sputnikv, russia, sputnik, russian, india",10.55,3.77,3.16,-6.78,-0.61
5,"2021 fees, fees, covaxin dose, date, slots age",0.06,5.53,1.98,5.47,-3.55
3,"bengaluru, availability, free, paid, covidvaccine",0.17,5.38,7.82,5.21,2.43
0,"moderna, pfizer, shot, vaccinated, vaccine",10.82,7.2,8.45,-3.62,1.25
2,"india, vaccine covaxin, ocgn, vaccinated, vaccinated covaxin",5.06,2.87,4.9,-2.19,2.03
9,"dose covaxin, 2nd dose, 2nd, second dose, dose",2.81,0.62,0.2,-2.19,-0.42
4,"d2 slots, d2, d1, slots covaxin, 1410rs",3.8,3.01,0.05,-0.79,-2.96
6,"sinovac, china, sinopharm, chinese, sinovac vaccine",2.93,2.35,1.03,-0.57,-1.32
10,"mrna, moderna mrna, mrna vaccines, mrna moderna, mrna vaccine",1.03,1.56,1.79,0.54,0.23
8,"approval, covaxin approval, approval covaxin, approve covaxin, covaxin covaxin",0.79,1.23,3.99,0.43,2.76
12,"moderna, moderna moderna, got moderna, got, like",1.24,0.96,0.95,-0.28,-0.01
7,"people, don, amp, media, know",1.59,1.32,2.42,-0.27,1.1
13,"children, 18 years, kids, years, aged 18",0.49,0.23,4.34,-0.26,4.12
14,"ocgn, ocugen, ocgn covaxin, covaxin ocgn, approval",0.69,0.61,2.6,-0.08,1.99
11,"sinovac, dose sinovac, sinopharm, 1st dose, dose",1.39,1.44,0.59,0.05,-0.85
