Topic,Count,Name,Representation,Representative_Docs
-1,71010,-1_covaxin_2021_age_pincode,"['covaxin', '2021', 'age', 'pincode', 'slots age', 'age 18', 'dose', 'covaxin dose', 'date', '2021 fees']","['Pincode: 560011 COVAXIN - Dose 2: 25 slots Age: 18 and above (All Ages) Date: 07 Aug 2021 Fees: ₹1410 AARTHI SCAN…', 'Pincode: 560061 COVAXIN - Dose 2: 25 slots Age: 18 and above (All Ages) Date: 16 Sep 2021 Fees: ₹1410 AARTHI SCAN…', 'Pincode: 560078 COVAXIN - Dose 1: 25 slots Age: 18 and above (All Ages) Date: 15 Sep 2021 Fees: ₹1410 Gvg Invivo…']"
0,16258,0_moderna_pfizer_shot_vaccinated,"['moderna', 'pfizer', 'shot', 'vaccinated', 'vaccine', 'moderna vaccine', 'got', 'arm', 'booster', 'pfizer moderna']","['First dose of Moderna down! vaccine halfwaythere Moderna', 'Fully vaccinated 💉😁 PfizerBiontech PfizerGang COVID19 vaccinated', 'Weeeeee I got my second dose of the Moderna COVID-19 vaccine 😎💉 Moderna vaccinated']"
1,11938,1_sputnikv_russia_sputnik_russian,"['sputnikv', 'russia', 'sputnik', 'russian', 'india', 'vaccine', 'reddy', 'rdif', 'doses', 'dr']","['Has it something to do with Sputnikv?', 'Only Vaccine I will take SputnikV Ramaphosa', '5% GST on vaccine SputnikV . How about 5% GST on funeral? GOVT_SCAM_TAX GHANA_SARA_TAX']"
2,7535,2_india_vaccine covaxin_ocgn_vaccinated,"['india', 'vaccine covaxin', 'ocgn', 'vaccinated', 'vaccinated covaxin', 'vaccine', 'vaccination', 'covaxin', 'vaccigen', 'covaxin vaccine']","['Wait for it...😉 Covaxin Vaccigen HealthCanada $ocgn $ocugen ocgn ocugen BLA EUL …', '👇👇👇 we are on the radar Covaxin Vaccigen HealthCanada $ocgn $ocugen ocgn ocugen BLA EUL …', 'India Vaccine Covaxin from…']"
3,6433,3_bengaluru_availability_free_paid,"['bengaluru', 'availability', 'free', 'paid', 'covidvaccine', 'covishield', 'dose1', '18 44', 'urban', '44']","['18-44 URBAN Bengaluru CovidVaccine Availability for 10/09 at 07:00AM FREE Slots 0 PAID Slots COVISHIELD - Dose…', '18-44 URBAN Bengaluru CovidVaccine Availability for 11/09 at 10:00AM FREE Slots 0 PAID Slots COVISHIELD - Dose…', '18-44 URBAN Bengaluru CovidVaccine Availability for 08/09 at 11:00AM FREE Slots 0 PAID Slots COVISHIELD - Dose…']"
4,5165,4_d2 slots_d2_d1_slots covaxin,"['d2 slots', 'd2', 'd1', 'slots covaxin', '1410rs', '1410rs bbmp', 'bbmp', '06 2021', '06', 'age']","['560078, AGE 18+ 6-D1, 14-D2 slots, COVAXIN on 23-06-2021 @ Gvg Invivo Hospital(1410Rs) BBMP', '560086, AGE 45+ 30-D1, 20-D2 slots, COVAXIN on 23-06-2021 @ PRISTINE HOSPITAL COVAXIN(1410Rs) BBMP', '560076, AGE 45+ 198-D1, 100-D2 slots, COVAXIN on 24-06-2021 @ APOLLO HOSPITAL 1(1410Rs) BBMP']"
5,4674,5_2021 fees_fees_covaxin dose_date,"['2021 fees', 'fees', 'covaxin dose', 'date', 'slots age', 'pincode', 'ages', '1410', 'age 18', 'aug 2021']","['Pincode: 560037 COVAXIN - Dose 2: 50 slots Age: 18 and above (All Ages) Date: 07 Sep 2021 Fees: ₹1410 Apollo Crad…', 'Pincode: 560103 COVAXIN - Dose 1: 50 slots Age: 18 and above (All Ages) Date: 07 Sep 2021 Fees: ₹1410 Apollo Clin…', 'Pincode: 560082 COVAXIN - Dose 1: 50 slots Age: 18 and above (All Ages) Date: 07 Sep 2021 Fees: ₹1410 TENET DIAGN…']"
6,4308,6_sinovac_china_sinopharm_chinese,"['sinovac', 'china', 'sinopharm', 'chinese', 'sinovac vaccine', 'vaccinated sinovac', 'vaccinated', 'vaccine sinovac', 'dose sinovac', 'vaccine']","['Got my 2nd dose of sinovac vaccine. Sinovac vaccinated', 'Done first dose.. ManilaDay 06242021 Sinovac SINOVACcinated', 'You should have Sinovac bodyfriendly vaccine 😂']"
7,2938,7_people_don_amp_media,"['people', 'don', 'amp', 'media', 'know', 'like', 'think', 'time', 'tweet', 'data']","[""I don't wish this on anyone. I don't know if it's just me or this is an issue with other people but in my case I pr…"", ""you guys have time for all this,but you don't have time for emergency meeting fo…"", 'enough us enough people are dyin…']"
8,2733,8_approval_covaxin approval_approval covaxin_approve covaxin,"['approval', 'covaxin approval', 'approval covaxin', 'approve covaxin', 'covaxin covaxin', 'covaxin', 'approve', 'covaxin approved', 'covaxinapproval', 'approved']","['SOS- Covaxin WHO approval', 'Covaxin must get WHO approval : DMKMP Mr_P_Wilson_MP WINSON WilsonMP', '=COVAXIN approval']"
9,2700,9_dose covaxin_2nd dose_2nd_second dose,"['dose covaxin', '2nd dose', '2nd', 'second dose', 'dose', 'available', 'second', 'covaxin available', 'sir', 'covaxin']","['2nd Dose ✅ Covaxin', '2nd dose done covaxin 🥳', 'Done with 2nd dose ✌🏻 COVAXIN']"
