Variable,Coef,Std_Err,z,p_value,Period,Model,N,Pseudo_R2
const,1.8246912651521565,0.009917417638968676,183.98854737974997,0.0,Pre-Delta Inter-Peak,Negative Binomial GLM,77995,0.0667616567698821
roberta_score,0.7733328002824644,0.007987214374405598,96.8213402109938,0.0,Pre-Delta Inter-Peak,Negative Binomial GLM,77995,0.0667616567698821
has_url,0.8969066066076286,0.011685781805507741,76.7519556273846,0.0,Pre-Delta Inter-Peak,Negative Binomial GLM,77995,0.0667616567698821
has_question,-0.5454677231243987,0.015285339522685302,-35.68567922975203,6.593375021078244e-279,Pre-Delta Inter-Peak,Negative Binomial GLM,77995,0.0667616567698821
hashtag_count_z,-0.24226937272934287,0.0038333906534313315,-63.19976089900557,0.0,Pre-Delta Inter-Peak,Negative Binomial GLM,77995,0.0667616567698821
mention_count_z,-0.5069419308006684,0.00433052437571864,-117.0624817731323,0.0,Pre-Delta Inter-Peak,Negative Binomial GLM,77995,0.0667616567698821
text_length_z,0.21656646788603823,0.0048824441148351905,44.35615908598035,0.0,Pre-Delta Inter-Peak,Negative Binomial GLM,77995,0.0667616567698821
const,0.7024536357393195,0.012508834848933198,56.15660005290001,0.0,Delta Peak,Negative Binomial GLM,72615,0.0405895823995166
roberta_score,0.630717895821803,0.010506211028378593,60.03286000235051,0.0,Delta Peak,Negative Binomial GLM,72615,0.0405895823995166
has_url,1.2641886654598875,0.014078946912556754,89.79284269708985,0.0,Delta Peak,Negative Binomial GLM,72615,0.0405895823995166
has_question,-0.2356485003995185,0.019661048568150815,-11.985551003685964,4.230221797176199e-33,Delta Peak,Negative Binomial GLM,72615,0.0405895823995166
hashtag_count_z,-0.136435377559815,0.004090451246125919,-33.3546030377537,6.247034107298572e-244,Delta Peak,Negative Binomial GLM,72615,0.0405895823995166
mention_count_z,-0.1608696060723951,0.0044083293100266804,-36.49219347259279,1.4748121139403192e-291,Delta Peak,Negative Binomial GLM,72615,0.0405895823995166
text_length_z,-0.1110122525565179,0.005198156760364509,-21.356080178838898,3.423644255104484e-101,Delta Peak,Negative Binomial GLM,72615,0.0405895823995166
const,2.7817772441235915,0.020436862527293435,136.115670417048,0.0,Post-Delta Inter-Peak,Negative Binomial GLM,30592,0.08028321713721442
roberta_score,1.113572526742512,0.012862779184427202,86.57324445798616,0.0,Post-Delta Inter-Peak,Negative Binomial GLM,30592,0.08028321713721442
has_url,-0.3733377512360615,0.022405539018147853,-16.662743571295852,2.4454462498795298e-62,Post-Delta Inter-Peak,Negative Binomial GLM,30592,0.08028321713721442
has_question,-0.14400221415722778,0.024191685827357028,-5.952549780320961,2.639967976905253e-09,Post-Delta Inter-Peak,Negative Binomial GLM,30592,0.08028321713721442
hashtag_count_z,-0.5493808178975034,0.006498023289311273,-84.54583700880093,0.0,Post-Delta Inter-Peak,Negative Binomial GLM,30592,0.08028321713721442
mention_count_z,-0.4069920985207456,0.006727220733885455,-60.49929303950137,0.0,Post-Delta Inter-Peak,Negative Binomial GLM,30592,0.08028321713721442
text_length_z,0.07563387172916229,0.007662804312724288,9.87026010876596,5.601915638658378e-23,Post-Delta Inter-Peak,Negative Binomial GLM,30592,0.08028321713721442
