Variable,Coef,Std_Err,z,p_value,Period,Pseudo_R2,N
inflate_const,-2.1934249768454004,0.16692233363283204,-13.140392475401953,1.932219498482516e-39,Pre-Delta Inter-Peak,0.01651103782676777,77995
inflate_has_url,-10.620030353295038,5.368254709071936,-1.978302246975727,0.04789461979076257,Pre-Delta Inter-Peak,0.01651103782676777,77995
inflate_text_length_z,0.6888841517920838,0.09935045088266803,6.9338804773583735,4.09450633421184e-12,Pre-Delta Inter-Peak,0.01651103782676777,77995
const,1.882050555248851,0.02666179625474622,70.58978837233505,0.0,Pre-Delta Inter-Peak,0.01651103782676777,77995
roberta_score,0.7799539063466578,0.020427835744770768,38.18093683988598,0.0,Pre-Delta Inter-Peak,0.01651103782676777,77995
has_url,0.8362805445799256,0.030553460126521468,27.37105850260164,6.064855046519148e-165,Pre-Delta Inter-Peak,0.01651103782676777,77995
has_question,-0.5257600113621285,0.03668779418332626,-14.330652007448135,1.407925419393238e-46,Pre-Delta Inter-Peak,0.01651103782676777,77995
hashtag_count_z,-0.23898708914887132,0.009479786796496439,-25.210175532343904,3.0982315638492274e-140,Pre-Delta Inter-Peak,0.01651103782676777,77995
mention_count_z,-0.4969409303710516,0.008878112692477248,-55.97371283562642,0.0,Pre-Delta Inter-Peak,0.01651103782676777,77995
text_length_z,0.23162580224719717,0.011735610062815087,19.737005661181264,1.0374691913870828e-86,Pre-Delta Inter-Peak,0.01651103782676777,77995
alpha,6.345399186789056,0.037723676944572494,168.2073355710359,0.0,Pre-Delta Inter-Peak,0.01651103782676777,77995
inflate_const,-1.398522931119385,,,,Delta Peak,-0.009694588457404674,72615
inflate_has_url,0.7369075329003891,,,,Delta Peak,-0.009694588457404674,72615
inflate_text_length_z,0.2066238792754851,,,,Delta Peak,-0.009694588457404674,72615
const,0.9256179232526769,,,,Delta Peak,-0.009694588457404674,72615
roberta_score,0.5226160756731897,,,,Delta Peak,-0.009694588457404674,72615
has_url,1.5198118790550579,,,,Delta Peak,-0.009694588457404674,72615
has_question,-0.4474751149888816,,,,Delta Peak,-0.009694588457404674,72615
hashtag_count_z,-0.4579849930523616,,,,Delta Peak,-0.009694588457404674,72615
mention_count_z,0.09221676574020898,,,,Delta Peak,-0.009694588457404674,72615
text_length_z,-0.143807082005608,,,,Delta Peak,-0.009694588457404674,72615
alpha,5.956040478301931,,,,Delta Peak,-0.009694588457404674,72615
inflate_const,-8.357056195163203,,,,Post-Delta Inter-Peak,0.01952359301693196,30592
inflate_has_url,-20.770722083674166,,,,Post-Delta Inter-Peak,0.01952359301693196,30592
inflate_text_length_z,14.206614828533962,,,,Post-Delta Inter-Peak,0.01952359301693196,30592
const,2.7823897561376034,,,,Post-Delta Inter-Peak,0.01952359301693196,30592
roberta_score,1.095389579073172,,,,Post-Delta Inter-Peak,0.01952359301693196,30592
has_url,-0.36029476983957953,,,,Post-Delta Inter-Peak,0.01952359301693196,30592
has_question,-0.10007960511118376,,,,Post-Delta Inter-Peak,0.01952359301693196,30592
hashtag_count_z,-0.5286662127411064,,,,Post-Delta Inter-Peak,0.01952359301693196,30592
mention_count_z,-0.3806190987802073,,,,Post-Delta Inter-Peak,0.01952359301693196,30592
text_length_z,0.06644612813952576,,,,Post-Delta Inter-Peak,0.01952359301693196,30592
alpha,6.1295744659626035,,,,Post-Delta Inter-Peak,0.01952359301693196,30592
